feature,importance
G3,0.368204122970185
G2,0.22660066438409118
G1,0.14504670690335686
failures,0.03294608878723982
absences,0.01865019557457188
Walc,0.011442068720804525
goout,0.01077302973186966
health,0.009377170372640565
age,0.009260937726624417
Fedu,0.008516533477223176
